CHAMADO,DT_ABERTURA_CHAMADO,TIPO_CHAMADO,MODULO_CHAMADO,COMPLEXIDADE,IS,ANOMES_ABERTURA
TASK105721218-1,2024-03-25 11:29:08,Melhoria,Financeiro,N3,RDRB,202403
TASK105614218-1,2023-12-11 08:59:42,Suporte,Financeiro,N1,MAPC5,202312
TASK105700511-1,2024-03-08 14:15:06,Suporte,Financeiro,N1,GROD1,202403
TASK105597715-1,2023-11-27 09:36:07,Projetos,Custos,N3,T3CIBM,202311
TASK105657531-1,2024-01-26 12:01:52,Melhoria,Vendas,N3,LFRO1,202401
TASK105684378-1,2024-02-22 05:27:47,Projetos,Vendas,N2,SMMT,202402
TASK105610814-1,2023-12-06 11:47:33,Melhoria,Qualidade,N3,T3MSQ1,202312
TASK105670222-1,2024-02-08 12:04:06,Melhoria,Compras,N3,RBR1,202402
TASK105682491-1,2024-02-20 13:43:28,Manutenção,Compras,N1,DDAS,202402
TASK105668774-1,2024-02-07 10:12:03,Manutenção,Financeiro,N1,MTTA,202402
TASK105715007-1,2024-03-20 08:33:15,Suporte,Financeiro,N1,CJDA,202403
TASK105712585-1,2024-03-18 07:45:04,Suporte,Qualidade,N1,OTMD,202403
TASK105650127-1,2024-01-22 08:24:08,Suporte,Financeiro,N1,MDSC,202401
TASK105647498-1,2024-01-18 10:10:10,Manutenção,Financeiro,N2,GUSB,202401
TASK105660660-1,2024-01-30 05:20:57,Manutenção,Financeiro,N2,CRSI,202401
TASK105664088-1,2024-02-01 08:44:46,Suporte,Financeiro,N1,PMSC,202402
TASK105680506-1,2024-02-19 08:06:35,Manutenção,Financeiro,N2,T3ASC4,202402
TASK105693550-1,2024-02-29 07:14:02,Suporte,Infra,N1,MIDS,202402
TASK105714282-1,2024-03-19 13:55:39,Manutenção,Vendas,N2,PFRN1,202403
TASK105634350-1,2024-01-02 06:00:18,Perfis,Infra,N1,GRIA,202401
TASK105634846-1,2024-01-02 12:31:25,Perfis,Infra,N1,FANT,202401
TASK105637890-1,2024-01-08 08:58:52,Suporte,Infra,N1,WJMS,202401
TASK105643930-1,2024-01-15 05:29:23,Suporte,Infra,N1,ESCM,202401
